Report,District Name,RCDTS,Participating?,NCESID,ROE_x,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,key,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name
Ridgely Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Ridgely Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,PK - 5,,Commendable,308,46.1,29.5,3.9,,,,19.2,24,23.1,,66.6,,,89.7,14.7,95,41.9,,,22,1.7,,,,,77.4,,,2,,,50,3,20,2,38,2,51,3,47,3,97.3,96.4,8,115,7,115,34.9,43.1,12,38,31.6,,,38.5,44,126,,,Not Provided,126,,,,,,,,,,,4397,97.3,96.4,73,28,1,2,17,40,14,36,61,53,43,1,50,41,12,1,77,19,63,18,1,,61,,67,64,,,50,,71,72,,42,28,,,29,45,50,20,38,51,47,2,-2,Illinois,Ridgely Elem School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.659863946,0.479591837,,0.006802721,0.030612245,0.326530612,0.455782313,0.003401361,0.176870748,13.61,294,5-Title I schoolwide school,IL-51-084-1860-25-5108418602032,IL-51-084-1860-25,No,194,153,141,–,2,9,96,134,1,52,294,21.6,13.61,Elementary,Prekindergarten,5th Grade,51,3,West Central
Sandburg Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Sandburg Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,K - 5,,Commendable,273,40.3,37.7,,4.8,,,14.3,21.2,20.9,5.5,45.8,,,92.6,12.8,60,25.2,,,21,1.6,,,,,89.8,,,1,,,66,4,47,3,75,4,50,3,67,4,95.5,95.7,47,121,39,121,51,50.2,28,41,68.3,,,24.6,11,15,,,,15,,,,,,,,,,,4398,95.5,95.7,88,23,70,1,67,49,61,83,80,88,69,44,62,30,55,44,59,68,53,49,43,,41,,79,69,,,77,,51,78,,81,54,,,75,54,66,47,75,50,67,5,3,Illinois,Sandburg Elem School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.475095785,0.486590038,,0.042145594,0.038314176,0.360153257,0.421455939,,0.137931034,15.35,261,4-Title I schoolwide eligible school-No program,IL-51-084-1860-25-5108418602033,IL-51-084-1860-25,No,124,134,127,–,11,10,94,110,–,36,261,17,15.35,Elementary,Kindergarten,5th Grade,51,3,West Central
Southern View Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Southern View Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,K - 5,,Commendable,134,23.1,47.8,16.4,,,,11.9,12.7,11.2,14.2,60.4,,,90.2,17.2,45,39.1,,,16.9,1.5,,,,,87,,,2,,,47,3,46,3,30,2,57,3,35,2,97.4,80,9,63,4,63,40.5,48.6,11,21,52.4,,,42.1,8,9,,,Not Provided,9,,,,,,,,,,,4399,97.4,80,38,15,29,68,13,46,2,53,44,47,22,1,62,62,48,14,76,20,44,41,17,,55,,66,35,,,43,,51,48,,67,62,,,21,59,47,46,30,57,35,2,-2,Illinois,Southern View Elem School,5.10842E+14,0,Springfield SD 186,1737080,22-Suburb: Mid-size,2,0.673076923,0.455128205,0.006410256,,0.147435897,0.365384615,0.307692308,,0.173076923,9.45,156,5-Title I schoolwide school,IL-51-084-1860-25-5108418602035,IL-51-084-1860-25,No,105,85,71,1,–,23,57,48,–,27,156,16.5,9.45,Elementary,Kindergarten,5th Grade,51,3,West Central
Feitshans Elementary Sch- Springfield SD 186,Springfield SD 186,5.10842E+14,5.10842E+14,1.73708E+11,51,School,Feitshans Elementary Sch,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,PK - 5,,Intensive,293,23.5,61.4,,,,,13,27.6,27,,81.2,,,87.1,27.6,144,50.7,,,18.7,1.7,,,,,65.9,,,2,,,37,2,24,2,23,2,52,3,43,3,99.1,67.7,3,158,3,159,36.9,30.5,10,58,17.2,,,53.6,84,177,,,Not Provided,177,,,,,,,,,,,4405,99.1,67.7,107,31,1,30,9,40,1,31,40,45,24,1,51,22,1,1,83,1,38,28,1,,68,,79,47,,,50,,58,72,,58,35,,,50,46,37,24,23,52,43,1,-3,Illinois,Feitshans Elem Sch,5.10842E+14,1,Springfield SD 186,1737080,12-City: Mid-size,1,0.825,0.5,0,0,0.025,0.584375,0.26875,0,0.121875,10.16,320,5-Title I schoolwide school,IL-51-084-1860-25-5108418602037,IL-51-084-1860-25,No,264,160,160,0,0,8,187,86,0,39,320,31.5,10.16,Elementary,Prekindergarten,5th Grade,51,3,West Central
Wilcox Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Wilcox Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,K - 5,,Commendable,250,43.6,37.2,,,,,16.4,22,21.6,,61.2,,,90.7,12.6,80,37.4,,,26.3,1.6,,,,,91.3,,,2,,,60,4,62,4,43,3,59,3,62,4,96.9,73.1,18,104,16,104,46.5,41,8,28,28.6,,,35.3,30,51,,,Not Provided,51,,,,,,,,,,,4407,96.9,73.1,64,26,19,27,76,42,43,55,86,49,40,6,74,20,70,4,71,39,56,65,17,,40,,88,80,,,86,,81,79,,72,55,,,87,61,60,62,43,59,62,5,3,Illinois,Wilcox Elem School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.637554585,0.489082969,,0.008733624,0.043668122,0.366812227,0.43231441,,0.148471616,12.81,229,5-Title I schoolwide school,IL-51-084-1860-25-5108418602040,IL-51-084-1860-25,No,146,117,112,–,2,10,84,99,–,34,229,17.88,12.81,Elementary,Kindergarten,5th Grade,51,3,West Central
Jefferson Middle School- Springfield SD 186,Springfield SD 186,5.10842E+14,5.10842E+14,1.73708E+11,51,School,Jefferson Middle School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,8-Jun,,Intensive,528,26.1,55.3,4,,,,14.2,28,27.7,,78.8,2.7,9.8,82.9,22.3,381,65.8,,,19.9,3.3,,,,,84.6,,,2,,,44,3,33,2,16,1,19,1,44,3,92.3,67.9,34,506,6,502,36.8,39.6,24,155,15.8,,,64.4,260,745,5,1,Not Provided,739,,Jefferson Middle School- Springfield SD 186,661,Middle/Jr. High,632,51,3,2023,ISI/RNA,West Central,4388,92.3,67.9,492,53,1,22,34,50,1,39,38,39,1,1,55,29,6,1,99,9,49,50,1,,26,9,70,63,,36,74,1,35,38,1,15,1,46,,14,15,44,33,16,19,44,1,-3,Illinois,Jefferson Middle School,5.10842E+14,1,Springfield SD 186,1737080,22-Suburb: Mid-size,2,0.749565217,0.459130435,,0.005217391,0.029565217,0.565217391,0.286956522,0.00173913,0.111304348,13.37,575,5-Title I schoolwide school,IL-51-084-1860-25-5108418602042,IL-51-084-1860-25,No,431,311,264,–,3,17,325,165,1,64,575,43,13.37,Middle,6th Grade,8th Grade,9,4,East Central
Harvard Park Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,5.10842E+14,1.73708E+11,51,School,Harvard Park Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,PK - 5,,Intensive,344,23,60.5,,,,,13.1,19.5,19.2,,78.5,4.7,,87.4,30.1,190,56.9,,,19.3,1.7,,,,,90,,,1,,,56,3,40,3,23,2,48,3,40,3,99.9,72.5,8,173,10,171,42,46.1,8,51,15.7,,,56,60,105,,,Not Provided,105,,Harvard Park Elementary School- Springfield SD 186,663,Elementary,632,51,3,2023,ISI/RNA,West Central,4384,99.9,72.5,91,40,6,23,41,51,32,50,63,43,10,1,66,36,15,1,83,15,59,54,1,,67,,69,60,,,53,,53,46,,32,31,,,53,42,56,40,23,48,40,2,-1,Illinois,Harvard Park Elem School,5.10842E+14,1,Springfield SD 186,1737080,12-City: Mid-size,1,0.71627907,0.472093023,0.006976744,0.002325581,0.030232558,0.581395349,0.248837209,,0.130232558,14.75,430,5-Title I schoolwide school,IL-51-084-1860-25-5108418602044,IL-51-084-1860-25,No,308,227,203,3,1,13,250,107,–,56,430,29.16,14.75,Elementary,Prekindergarten,5th Grade,51,3,West Central
Edwin A Lee Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Edwin A Lee Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,PK - 12,,Commendable,176,24.4,58.5,,,,,12.5,44.9,44.9,,80.1,,,86.9,28.2,88,49.4,,,16.9,1.5,,,,,81.8,,,1,,,31,2,19,1,10,1,44,3,44,3,99.9,52.3,8,73,2,73,53.6,52.4,3,21,14.3,,,50.2,30,51,,,Not Provided,51,,,,,,,,,,,4380,99.9,52.3,24,44,1,1,25,26,19,22,41,5,15,1,20,35,10,1,82,10,36,37,33,,45,,67,48,,,53,,58,72,,77,39,,,36,35,31,19,10,44,44,1,-3,Illinois,Edwin A Lee Elementary School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.796680498,0.452282158,0,0.01659751,0.020746888,0.593360996,0.22406639,0.008298755,0.136929461,10.04,241,5-Title I schoolwide school,IL-51-084-1860-25-5108418602045,IL-51-084-1860-25,No,192,132,109,0,4,5,143,54,2,33,241,24,10.04,Other,Prekindergarten,12th Grade,51,3,West Central
Elizabeth Graham Elementary School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Elizabeth Graham Elementary School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,K - 5,,Commendable,250,18,56.8,4,,,,19.2,22.4,22.4,4.4,64.8,4.4,,87.3,23.9,138,58.7,,,19.3,1.6,,,,,89.8,,,2,,,26,2,16,1,13,1,56,3,54,3,99.9,84,16,105,6,105,44.8,48.1,6,28,21.4,,,50.3,10,15,,,,15,,,,,,,,,,,4381,99.9,84,64,25,11,24,1,39,1,16,36,18,18,1,22,18,3,9,67,4,14,32,1,,86,,77,64,,,77,,49,64,,72,36,,,75,53,26,16,13,56,54,1,-3,Illinois,Elizabeth Graham Elem School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.735074627,0.455223881,0.007462687,0.01119403,0.070895522,0.585820896,0.220149254,,0.104477612,10.15,268,5-Title I schoolwide school,IL-51-084-1860-25-5108418602046,IL-51-084-1860-25,No,197,146,122,2,3,19,157,59,–,28,268,26.4,10.15,Elementary,Kindergarten,5th Grade,51,3,West Central
Lindsay School- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Lindsay School,Springfield,Sangamon,UNIT,LARGE,ELEMENTARY,K - 5,,Commendable,406,36,40.4,6.2,7.1,,,10.1,24.1,22.4,6.7,41.1,,,93.1,20.5,87,23.6,,,21.6,1.6,,,,,96.5,,,1,,,41,3,26,2,34,2,65,4,55,3,98.2,69,70,192,41,191,53.5,56.4,22,52,42.3,,,25.3,17,25,,,Not Provided,25,,,,,,,,,,,4392,98.2,69,113,42,35,1,30,37,21,32,42,33,43,4,34,1,44,9,68,27,51,23,30,,60,,92,71,,,65,,75,73,,87,53,,,81,72,41,26,34,65,55,2,-1,Illinois,Lindsay School,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.387990762,0.508083141,0.002309469,0.090069284,0.032332564,0.397228637,0.378752887,,0.099307159,13.12,433,4-Title I schoolwide eligible school-No program,IL-51-084-1860-25-5108418602049,IL-51-084-1860-25,No,168,213,220,1,39,14,172,164,–,43,433,33,13.12,Elementary,Kindergarten,5th Grade,51,3,West Central
Early Learning Center- Springfield SD 186,Springfield SD 186,5.10842E+14,,1.73708E+11,51,School,Early Learning Center,Springfield,Sangamon,UNIT,LARGE,PreK,PK,,,555,37.1,43.8,2,2.3,,,14.8,32.1,31.9,3.6,34.4,,,,,,,,,,,,,,,87.4,,,3,,,38,2,24,2,31,2,,0,,0,0,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4379,0,57.4,0,61,,1,7,37,1,27,42,27,36,,33,18,43,,73,29,46,35,16,,,,,,,,,,,,,,,,,,,38,24,31,,,1,-3,Illinois,Early Learning Center,5.10842E+14,0,Springfield SD 186,1737080,12-City: Mid-size,1,0.245823389,0.491646778,0.002386635,0.021479714,0.038186158,0.436754177,0.355608592,,0.145584726,13.09,419,4-Title I schoolwide eligible school-No program,IL-51-084-1860-25-5108418603023,IL-51-084-1860-25,No,103,213,206,1,9,16,183,149,–,61,419,32,13.09,Prekindergarten,Prekindergarten,Prekindergarten,19,1,Northeast
Havana High School- Havana CUSD 126,Havana CUSD 126,5.30601E+14,,1.71851E+11,53,School,Havana High School,Havana,Mason,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,,Commendable,275,94.5,,,,,,,20.7,18.5,,40.4,6.9,,92.1,9.8,47,16.3,,89.6,15.2,5,,,,,89.3,,,1,,,33,2,41,3,31,2,54,3,52,3,99.9,92.6,14,73,12,73,,,24,71,33.8,61,91,24.3,39,106,,,57,48,1,,,,,,,,,,2787,99.9,92.6,259,27,57,10,44,20,28,29,58,39,24,70,23,16,60,34,48,31,25,68,57,26,75,92,77,47,16,72,52,44,99,74,55,51,44,39,53,80,92,33,41,31,54,52,2,-2,Illinois,Havana High School,5.30601E+14,0,Havana CUSD 126,1718510,32-Town: Distant,3,0.312727273,0.52,,0.003636364,0.018181818,,0.941818182,,0.036363636,12.13,275,2-Title I targeted assistance school,IL-53-060-1260-26-5306012600001,IL-53-060-1260-26,No,86,132,143,–,1,5,–,259,–,10,275,22.67,12.13,High,9th Grade,12th Grade,53,3,West Central
Havana Jr High School- Havana CUSD 126,Havana CUSD 126,5.30601E+14,,1.71851E+11,53,School,Havana Jr High School,Havana,Mason,UNIT,MEDIUM,MIDDLE SCHL,PK - 8,,Commendable,310,95.2,,,,,,,26.1,21.9,,58.4,3.5,1.9,92.8,10.2,37,14.8,,,18.3,5,,,,,84.2,,,2,,,57,3,49,3,29,2,47,3,48,3,83.6,69,77,228,51,228,52.6,54.3,57,106,53.8,,,19.4,5,5,,,,5,,,,,,,,,,,2788,83.6,69,238,29,60,41,55,53,15,51,63,28,26,34,37,36,62,25,85,32,59,51,42,,46,33,69,47,,49,50,13,67,69,20,33,29,30,,43,46,57,49,29,47,48,2,-1,Illinois,Havana Jr High School,5.30601E+14,0,Havana CUSD 126,1718510,32-Town: Distant,3,0.567823344,0.463722397,,0.003154574,0.018927445,,0.952681388,,0.025236593,14.57,317,2-Title I targeted assistance school,IL-53-060-1260-26-5306012601001,IL-53-060-1260-26,No,180,170,147,–,1,6,–,302,–,8,317,21.75,14.57,Middle,5th Grade,8th Grade,53,3,West Central
New Central Elementary School- Havana CUSD 126,Havana CUSD 126,5.30601E+14,,1.71851E+11,53,School,New Central Elementary School,Havana,Mason,UNIT,MEDIUM,ELEMENTARY,K - 4,,Commendable,269,93.3,,,,,,4.5,24.2,21.9,,49.4,,,93.7,9.3,10,4.3,,,18.1,5,,,,,84.3,,,2,,,51,3,41,3,38,2,75,4,49,3,92.7,86.7,33,98,36,98,52.1,57.8,,,,,,18.6,2,3,,,3,,,,,,,,,,,,2789,92.7,86.7,55,30,67,12,45,46,34,47,65,35,51,39,37,9,54,15,26,27,45,55,50,,99,,86,57,,,37,,81,88,,54,59,,,80,62,51,41,38,75,49,3,0,Illinois,New Central Elem School,5.30601E+14,0,Havana CUSD 126,1718510,32-Town: Distant,3,0.583941606,0.49270073,,,0.018248175,0.010948905,0.941605839,,0.02919708,11.26,274,2-Title I targeted assistance school,IL-53-060-1260-26-5306012602002,IL-53-060-1260-26,No,160,139,135,–,–,5,3,258,–,8,274,24.33,11.26,Elementary,Kindergarten,4th Grade,53,3,West Central
Illini Central High School- Illini Central CUSD 189,Illini Central CUSD 189,5.30602E+14,,1.70011E+11,53,School,Illini Central High School,Mason City,Mason,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,,Commendable,182,92.3,,,,,,,22,13.7,,42.3,,,92.9,9.5,31,16.9,,89.7,12.1,5,,,,,88.9,,,1,,,52,3,47,3,54,3,43,3,52,3,99.4,99.9,13,47,9,47,,,32,47,68.1,36,80,21.3,13,16,,,,16,,,,,,,,,,,2886,99.4,99.9,164,27,69,19,49,46,38,50,58,71,49,65,60,22,51,45,99,41,54,58,56,32,66,43,66,61,1,66,41,35,59,62,29,39,37,60,42,56,60,52,47,54,43,52,3,0,Illinois,Illini Central High School,5.30602E+14,0,Illini Central CUSD 189,1700113,42-Rural: Distant,4,0.436170213,0.510638298,,0.005319149,0.042553191,0.005319149,0.909574468,,0.037234043,10.52,188,5-Title I schoolwide school,IL-53-060-1890-26-5306018900001,IL-53-060-1890-26,No,82,92,96,–,1,8,1,171,–,7,188,17.87,10.52,High,9th Grade,12th Grade,53,3,West Central
Illini Central Middle School- Illini Central CUSD 189,Illini Central CUSD 189,5.30602E+14,,1.70011E+11,53,School,Illini Central Middle School,Mason City,Mason,UNIT,MEDIUM,MIDDLE SCHL,8-Jun,,Commendable,141,96.5,,,,,,,27.7,20.6,,22,,27.1,94.3,7.5,10,6.8,,,15.1,5,,,,,91.3,,,1,,,37,2,32,2,36,2,42,3,58,3,99.3,99.9,48,143,29,142,55.4,55.4,25,47,53.2,,,12.2,25,31,,,,31,,,,,,,,,,,2887,99.3,99.9,139,16,82,1,29,52,1,20,38,46,27,52,30,1,33,57,99,35,37,66,32,,39,18,45,53,,59,60,12,49,63,20,36,34,51,,19,44,37,32,36,42,58,1,-3,Illinois,Illini Central Middle School,5.30602E+14,0,Illini Central CUSD 189,1700113,42-Rural: Distant,4,0.370860927,0.529801325,,,0.01986755,,0.966887417,,0.013245033,12.91,151,5-Title I schoolwide school,IL-53-060-1890-26-5306018901001,IL-53-060-1890-26,No,56,71,80,–,–,3,–,146,–,2,151,11.7,12.91,Middle,6th Grade,8th Grade,53,3,West Central
Illini Central Grade School- Illini Central CUSD 189,Illini Central CUSD 189,5.30602E+14,,1.70011E+11,53,School,Illini Central Grade School,Mason City,Mason,UNIT,MEDIUM,ELEMENTARY,K - 5,,Commendable,248,95.2,,,,,,,28.6,24.6,,10.1,6.9,,93.7,10.9,11,4.8,,,14.5,5,,,,,83.1,,,3,,,41,3,28,2,36,2,72,4,49,3,99.9,86.5,19,133,25,133,30.9,37.2,18,50,36,,,16.2,4,6,,,3,3,,,,,,,,,,,2885,99.9,86.5,89,37,48,41,6,44,12,32,55,45,44,42,35,39,31,22,92,19,31,27,24,,83,,73,67,,,57,,75,51,,66,50,,,86,78,41,28,36,72,49,2,-1,Illinois,Illini Central Grade School,5.30602E+14,0,Illini Central CUSD 189,1700113,42-Rural: Distant,4,0.117647059,0.452205882,,0.003676471,0.011029412,0.003676471,0.955882353,0.003676471,0.022058824,9.74,272,5-Title I schoolwide school,IL-53-060-1890-26-5306018902001,IL-53-060-1890-26,No,32,149,123,–,1,3,1,260,1,6,272,27.93,9.74,Elementary,Kindergarten,5th Grade,53,3,West Central
West Campus Facility- Illini Central CUSD 189,Illini Central CUSD 189,5.30602E+14,,1.70011E+11,53,School,West Campus Facility,Mason City,Mason,UNIT,MEDIUM,PreK,PK,,,70,98.6,,,,,,,31.4,28.6,,35.7,,,,,,,,,,0,,,,,100,,,2,,,,0,,0,,0,,0,,0,99.9,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43661,99.9,99.9,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Illinois,West Campus Facility,5.30602E+14,0,Illini Central CUSD 189,1700113,42-Rural: Distant,4,0.587301587,0.396825397,,,0.031746032,,0.936507937,,0.031746032,21,63,4-Title I schoolwide eligible school-No program,IL-53-060-1890-26-5306018903001,IL-53-060-1890-26,No,37,38,25,–,–,2,–,59,–,2,63,3,21,Prekindergarten,Prekindergarten,Prekindergarten,53,3,West Central
Midwest Central High School- Midwest Central CUSD 191,Midwest Central CUSD 191,5.30602E+14,,1.74396E+11,53,School,Midwest Central High School,Manito,Mason,UNIT,MEDIUM,HIGH SCHOOL,12-Sep,,Commendable,248,95.6,,,,,,,16.9,14.1,,46.8,,,90.7,17.5,28,10.7,4.9,82.5,15.1,4.8,,,,,92.1,,,2,,,40,3,44,3,32,2,41,3,43,3,81.1,76,12,59,10,59,,,26,57,45.6,52,92.9,31.9,25,44,2,1,1,40,,,,,,,,,,,3370,81.1,76,233,25,75,12,53,29,60,21,65,36,22,69,35,50,47,36,99,38,43,72,52,32,76,55,82,49,1,71,39,37,74,47,5,38,25,65,49,36,58,40,44,32,41,43,2,-1,Illinois,Midwest Central High School,5.30602E+14,0,Midwest Central CUSD 191,1743962,42-Rural: Distant,4,0.439285714,0.528571429,,0.007142857,0.021428571,0.007142857,0.960714286,,0.003571429,12.5,280,4-Title I schoolwide eligible school-No program,IL-53-060-1910-26-5306019100001,IL-53-060-1910-26,No,123,132,148,–,2,6,2,269,–,1,280,22.4,12.5,High,9th Grade,12th Grade,53,3,West Central
Midwest Central Middle School- Midwest Central CUSD 191,Midwest Central CUSD 191,5.30602E+14,,1.74396E+11,53,School,Midwest Central Middle School,Green Valley,Mason,UNIT,MEDIUM,MIDDLE SCHL,8-Jun,,Commendable,177,96.6,,,,,,,12.4,12.4,,53.7,,28.6,92.3,8.7,22,11.8,,,19.3,5,,,,,76.9,,,1,,,80,5,62,4,40,3,46,3,66,4,99.9,93.3,62,175,34,174,46.2,45.9,39,63,61.9,,,30.3,31,76,,,35,41,,,,,,,,,,,3371,99.9,93.3,171,15,52,31,52,56,24,84,98,61,23,51,90,61,62,34,99,37,81,73,36,,55,35,57,67,,68,82,27,63,82,27,35,33,57,,18,31,80,62,40,46,66,5,3,Illinois,Midwest Central Middle School,5.30602E+14,0,Midwest Central CUSD 191,1743962,42-Rural: Distant,4,0.50877193,0.473684211,,,0.005847953,0.005847953,0.976608187,,0.011695906,12.57,171,2-Title I targeted assistance school,IL-53-060-1910-26-5306019101003,IL-53-060-1910-26,No,87,90,81,–,–,1,1,167,–,2,171,13.6,12.57,Middle,6th Grade,8th Grade,53,3,West Central
Midwest Central Primary School- Midwest Central CUSD 191,Midwest Central CUSD 191,5.30602E+14,,1.74396E+11,53,School,Midwest Central Primary School,Manito,Mason,UNIT,MEDIUM,ELEMENTARY,PK - 5,,Commendable,425,94.6,,,,,,3.1,18.1,16.2,,50.8,,,93.2,5.7,,,,,17.1,5,,,,,91.3,,,3,,,42,3,25,2,34,2,59,3,53,3,96.5,53.7,40,186,46,186,43.7,58.7,26,53,49.1,,,20.4,23,87,,,49,38,,,,,,,,,,,3372,96.5,53.7,115,54,41,33,2,39,5,31,58,46,42,32,52,38,23,8,88,15,40,16,1,,65,,72,69,,,79,,66,56,,61,44,,,61,60,42,25,34,59,53,2,-2,Illinois,Midwest Central Primary School,5.30602E+14,0,Midwest Central CUSD 191,1743962,42-Rural: Distant,4,0.493181818,0.481818182,,,0.009090909,0.013636364,0.954545455,,0.022727273,13.05,440,5-Title I schoolwide school,IL-53-060-1910-26-5306019102003,IL-53-060-1910-26,No,217,228,212,–,–,4,6,420,–,10,440,33.72,13.05,Elementary,Prekindergarten,5th Grade,53,3,West Central
J L Hensey Elementary School- District 50 Schools,District 50 Schools,5.30901E+14,,1.74101E+11,53,School,J L Hensey Elementary School,Washington,Tazewell,ELEMENTARY,MEDIUM,ELEMENTARY,PK - 3,,Commendable,260,88.5,,6.9,,,,,29.6,27.7,,61.5,,,93.5,10,,,,,,3,,,,,77.1,,,1,,,48,3,49,3,48,3,,0,,0,0,60.6,10,66,14,66,,,,,,,,18.1,9,16,,,6,10,,,,,,,,,,,2310,0,60.6,0,33,51,71,28,37,36,51,65,52,63,33,48,61,54,31,99,30,40,45,36,,,,,,,,,,,,,,,,,,,48,49,48,,,3,0,Illinois,J L Hensey Elem School,5.30901E+14,0,District 50 Schools,1741010,21-Suburb: Large,2,0.604395604,0.450549451,,,0.043956044,0.010989011,0.904761905,,0.04029304,11.38,273,5-Title I schoolwide school,IL-53-090-0500-02-5309005002001,IL-53-090-0500-02,No,165,150,123,–,–,12,3,247,–,11,273,24,11.38,Elementary,Prekindergarten,3rd Grade,53,3,West Central
