RCDTS,Report,NCESID,Grades Served,School Type,Summative Designation,# Student Enrollment,% Student Enrollment - Children with Disabilities,% Student Enrollment - Low Income,teacher_count,colb,colr,inf3,ins3,pgmc,pnfl,prt4,qpd2,trpa,trte
150162990252437,Ashe Elementary School- City of Chicago SD 299,170993001071.0,PK - 8,ELEMENTARY,Intensive,359.0,11.1,84.7,22,28.0,36.0,37.0,63.0,66.0,63.0,24.0,74.0,46.0,42.0
150162990252444,Schubert Elementary School- City of Chicago SD 299,170993001079.0,PK - 5,ELEMENTARY,Comprehensive,535.0,15.7,92.3,44.5,31.0,19.0,54.0,58.0,70.0,75.0,58.0,50.0,47.0,35.0
150162990252462,Spencer Technology Academy Elementary School- City of Chicago SD 299,170993001101.0,PK - 8,ELEMENTARY,Comprehensive,386.0,11.9,83.4,31.5,42.0,33.0,28.0,52.0,52.0,44.0,38.0,55.0,38.0,44.0
150162990252469,Spry Elem Community School- City of Chicago SD 299,170993001106.0,PK - 8,ELEMENTARY,Comprehensive,293.0,17.7,93.5,30.5,42.0,53.0,35.0,49.0,38.0,49.0,54.0,48.0,65.0,64.0
150162990252474,Sullivan Elementary School- City of Chicago SD 299,170993001116.0,PK - 8,ELEMENTARY,Comprehensive,383.0,28.7,95.8,38,18.0,18.0,26.0,22.0,52.0,52.0,23.0,30.0,23.0,30.0
150162990252480,Taylor Elementary School- City of Chicago SD 299,170993001120.0,PK - 8,ELEMENTARY,Comprehensive,337.0,25.5,92.9,29,41.0,49.0,45.0,45.0,31.0,61.0,45.0,58.0,69.0,38.0
150162990252494,Volta Elementary School- City of Chicago SD 299,170993001138.0,PK - 8,ELEMENTARY,Comprehensive,694.0,13.8,85.9,48.25,40.0,41.0,36.0,36.0,56.0,60.0,66.0,52.0,70.0,51.0
150162990252498,Wadsworth Elementary School- City of Chicago SD 299,170993001144.0,PK - 8,ELEMENTARY,Comprehensive,460.0,12.6,79.1,34,29.0,11.0,24.0,49.0,52.0,47.0,36.0,59.0,37.0,30.0
150162990252521,Woodson South Elementary School- City of Chicago SD 299,170993001163.0,PK - 8,ELEMENTARY,Intensive,289.0,24.2,83.0,20.5,55.0,44.0,41.0,58.0,55.0,44.0,54.0,88.0,76.0,80.0
150162990252525,Young Elementary School- City of Chicago SD 299,170993001171.0,PK - 8,ELEMENTARY,Comprehensive,470.0,11.1,96.8,39,49.0,25.0,31.0,56.0,55.0,59.0,52.0,53.0,58.0,62.0
150162990252605,Depriest Elementary School- City of Chicago SD 299,170993001177.0,PK - 8,ELEMENTARY,Intensive,456.0,24.1,93.0,44,45.0,18.0,39.0,41.0,38.0,54.0,16.0,46.0,27.0,30.0
150162990252620,Hughes L Elementary School- City of Chicago SD 299,170993000899.0,PK - 8,ELEMENTARY,Comprehensive,453.0,22.1,98.0,40.25,38.0,36.0,37.0,53.0,51.0,51.0,40.0,61.0,38.0,35.0
150162990252636,Hay Elem Community Academy- City of Chicago SD 299,170993001193.0,PK - 8,ELEMENTARY,Comprehensive,266.0,13.9,96.2,21.5,38.0,31.0,39.0,48.0,68.0,61.0,20.0,63.0,46.0,37.0
150162990252714,Leland Elementary School- City of Chicago SD 299,170993000730.0,PK - 8,ELEMENTARY,Intensive,364.0,18.4,96.7,28.5,4.0,1.0,15.0,1.0,30.0,14.0,1.0,17.0,18.0,41.0
150162990252766,Till Elem Math & Science Academy- City of Chicago SD 299,170993001165.0,PK - 8,ELEMENTARY,Comprehensive,302.0,17.5,98.3,21.5,34.0,8.0,31.0,27.0,64.0,38.0,10.0,55.0,26.0,1.0
150162990252767,Ward  L Elementary School- City of Chicago SD 299,170993001212.0,PK - 8,ELEMENTARY,Intensive,244.0,25.0,98.0,29.5,40.0,12.0,30.0,35.0,70.0,30.0,25.0,51.0,33.0,23.0
150162990252785,Powell Elementary Paideia Community Academy- City of Chicago SD 299,170993001213.0,PK - 8,ELEMENTARY,Comprehensive,533.0,15.0,94.2,32.5,29.0,30.0,31.0,42.0,55.0,40.0,20.0,49.0,32.0,38.0
150162990252799,Curtis Elementary School- City of Chicago SD 299,170993000650.0,PK - 8,ELEMENTARY,Comprehensive,378.0,11.6,97.1,29.5,1.0,1.0,15.0,20.0,31.0,17.0,1.0,25.0,23.0,35.0
150162990252806,Kanoon Elementary Magnet School- City of Chicago SD 299,170993000787.0,PK - 8,ELEMENTARY,Comprehensive,411.0,16.1,96.8,34,69.0,76.0,59.0,79.0,90.0,87.0,55.0,99.0,95.0,99.0
150162990252807,Randolph Elementary School- City of Chicago SD 299,170993000769.0,PK - 8,ELEMENTARY,Comprehensive,331.0,16.6,95.8,29,31.0,10.0,30.0,36.0,63.0,27.0,9.0,51.0,24.0,46.0
150162990252823,Ninos Heroes Elementary Academic Center- City of Chicago SD 299,170993001128.0,PK - 8,ELEMENTARY,Comprehensive,290.0,13.4,92.8,20.5,12.0,8.0,20.0,50.0,54.0,24.0,25.0,50.0,41.0,26.0
150162990252837,Daley Elementary Academy- City of Chicago SD 299,170993004913.0,PK - 8,ELEMENTARY,Comprehensive,484.0,16.5,99.4,34.5,29.0,23.0,30.0,31.0,41.0,36.0,19.0,53.0,31.0,49.0
150162990252838,Madero Middle School- City of Chicago SD 299,170993004915.0,6 - 8,ELEMENTARY,Comprehensive,252.0,26.6,86.9,21,67.0,61.0,58.0,87.0,91.0,62.0,68.0,86.0,84.0,74.0
150162990252870,Brighton Park Elementary School- City of Chicago SD 299,170993005486.0,PK - 8,ELEMENTARY,Comprehensive,272.0,19.1,95.6,30,44.0,18.0,44.0,41.0,52.0,60.0,49.0,55.0,46.0,10.0
150162990252892,Kellman Corporate Community Elementary School- City of Chicago SD 299,170993000760.0,PK - 8,ELEMENTARY,Intensive,202.0,17.3,98.0,16.5,42.0,39.0,36.0,41.0,49.0,54.0,42.0,64.0,48.0,55.0
150162990252901,Telpochcalli Elementary School- City of Chicago SD 299,170993001613.0,PK - 8,ELEMENTARY,Comprehensive,219.0,23.3,86.3,21.5,,,,,,,,,,
150162990252904,Christopher Elementary School- City of Chicago SD 299,170993004376.0,K - 8,ELEMENTARY,Comprehensive,322.0,55.6,93.2,36.5,37.0,17.0,39.0,44.0,60.0,48.0,47.0,52.0,39.0,45.0
150162990252908,West Park Elementary Academy- City of Chicago SD 299,170993002042.0,PK - 8,ELEMENTARY,Comprehensive,459.0,18.7,96.7,35.5,21.0,35.0,39.0,56.0,60.0,58.0,39.0,56.0,54.0,61.0
150162990252913,Fairfield Elementary Academy- City of Chicago SD 299,170993002631.0,PK - 8,ELEMENTARY,Comprehensive,454.0,15.9,98.7,38.5,,,,,,,,,,
